Label	Count
#StudentOpportunity	2
#ResearchLecture	2
#ScientificLecture	2
#Anniversary	2
#SocialImpact	2
#BurnCare	2
#MedievalStudies	2
#    	2
#TechnologyInnovation	2
#TechnologyResearch	2
#Endoscopy	2
#AcademicExpansion	2
#CollaborativeProject	2
#Ethnology	2
#AsiaStudies	2
#CommunityStudies	2
#PrimaryEducation	2
#AnthropologyLecture	2
#ChildDevelopment	2
#CulturalConference	2
#StudyAbroad	2
#PhilosophyLecture	2
#CulturalLecture	2
#UniversityCelebration	2
#FreedomOfSpeech	2
#PharmacyStudies	2
#CellBiology	2
#SocialScience	2
#StudentGuidance	2
#SportsEducation	2
#BiotechInnovation	2
#EnvironmentalTraining	2
#AcademicResults	2
#RegionalFocus	2
#GraduationStatistics	2
#ResearchOpportunities	2
#Meeting	2
#EngineeringStudies	2
#TechnologyEducation	2
#VisitingProfessor	2
#BurnsTreatment	2
#CareersExhibition	2
#JapaneseStudies	2
#CancerTreatment	2
#TechnologyImpact	2
#Neuroscience	2
#Pharmacy	2
#Communications	2
#SocialWelfare	2
#Arts	2
#StaffWelfare	2
#Finance	2
#PressEvent	2
#PhysicsLecture	2
#ResearchOpportunity	2
#Philanthropy	2
#UniversityAlumni	2
#HealthCare	2
#IndustrySupport	2
#EconomicConference	2
#ResearchShowcase	2
#HonoraryRecognition	2
#MemorialLecture	2
#RetailMarketing	2
#DonationEvent	2
#LeadershipSearch	2
#UniversityInnovation	2
#MedicalAppointment	2
#EndoscopyInnovation	2
#ChineseLiterature	2
#UndergraduateStudies	2
#Philosophy	2
#DemocracyStudies	2
#FacilityUpgrade	2
#Linguistics	2
#ProgramLaunch	2
#Electronics	2
#PublicAdministration	2
#AcademicAward	2
#CulturalFestival	2
#Theatre	2
#HonoraryNaming	2
#FinanceSeminar	2
#StudentTraining	2
#UrbanDevelopment	2
#SportsAchievement	2
#PhilosophySeminar	2
#GlobalCollaboration	2
#TechnologyEvent	2
#LanguageTeaching	2
#ResearchFacility	2
#Telemedicine	2
#EducationGuidance	2
#Astronomy	2
#PhysicsConference	2
#AcademicProgram	2
#LegalSeminar	2
#ResearchPartnership	2
#QualityImprovement	2
#AcademicAppointments	2
#MedicalScreening	2
#EnvironmentalResearch	2
#BusinessLecture	2
#UniversityOpenDay	2
#BusinessConference	2
#PsychologyTraining	2
#AcademicAwards	2
#UniversityAdmissions	2
#AcademicFreedom	2
#MemorialFund	2
#Management	2
#ProgramUpdate	2
#PopulationStudies	2
#BusinessEvent	2
#ScientificEquipment	2
#Publication	2
#InternationalPartnership	2
#Statistics	2
#UniversityHistory	2
#IndustryPartnership	2
#SocialStudies	2
#ProfessionalRecognition	2
#CommunityImpact	2
#ResearchProgram	2
#ResearchCenter	2
#ResearchInitiative	2
#EducationPhilosophy	2
#ResearchNetwork	2
#MusicResearch	2
#ScientificBreakthrough	2
#Physics	2
#AcademicHonour	2
#FundingSupport	2
#DistinguishedPersons	2
#Publishing	2
#CareerEvent	2
#MedicalAchievement	2
#UrbanStudies	2
#ManagementScience	2
#FiberOptics	1
#MaterialScience	1
#SoccerMatch	1
#TechHonor	1
#DeanAppointment	1
#NursingProgram	1
#StudentExperience	1
#DonationCeremony	1
#AwardRecognition	1
#GeneticsSeminar	1
#VisitingScholars	1
#DonationRecognition	1
#TechEthics	1
#FamilyStudies	1
#MathResearch	1
#UniversityPride	1
#GeneralEducation	1
#TechExhibition	1
#CollegeAnniversary	1
#FinanceEducation	1
#TechCenter	1
#ExchangeProgram	1
#StudentDevelopment	1
#UniversityImpact	1
#MedicalStudy	1
#LanguagePromotion	1
#MathLecture	1
#ScienceSeminar	1
#FreshmanEvent	1
#ResearchTraining	1
#ScienceLecture	1
#SportsScience	1
#CollegeAdministration	1
#LanguageConference	1
#IdentityStudies	1
#RegionalPartnership	1
#GenderEquality	1
#TradePolicy	1
#LeadershipRecognition	1
#CommunityEvent	1
#EmploymentIssues	1
#ChinaExchange	1
#EducationInitiative	1
#CulturalFusion	1
#SignLanguageResearch	1
#EducationalResource	1
#PsychologyConference	1
#ElectionMeeting	1
#SchoolImprovement	1
#StudentDiscipline	1
#PrivacyIssue	1
#HistoricalMoment	1
#IndustrialInnovation	1
#GeneticsResearch	1
#HealthTraining	1
#DrugPrevention	1
#PatientInitiative	1
#Optoelectronics	1
#CreativeExpression	1
#EnvironmentalEvent	1
#HealthScience	1
#Geography	1
#SocialInclusion	1
#StudentSuccess	1
#UniversityExcellence	1
#EconomicsEducation	1
#EnergyResearch	1
#HealthService	1
#CulturalTransition	1
#TelecomInnovation	1
#CulturalExpression	1
#CreativeWork	1
#CulturalAwareness	1
#ResearchEvent	1
#ExecutiveEducation	1
#BusinessCompetition	1
#StatisticsResearch	1
#HospitalManagement	1
#RegionalEngagement	1
#Agriculture	1
#PathologyResearch	1
#MedicalIndustry	1
#QualityControl	1
#UniversityFestival	1
#ModernChina	1
#FinancialReporting	1
#AccountingResearch	1
#CancerCollaboration	1
#CancerSeminar	1
#IndustryTraining	1
#ConferenceHighlight	1
#BurnResearch	1
#Communication	1
#AccountingStudies	1
#ChildHealthcare	1
#SportsDevelopment	1
#CancerCare	1
#Medicine	1
#RetirementEvent	1
#ResearchFindings	1
#Pediatrics	1
#Chemistry	1
#Training	1
#StudentProject	1
#VisionCare	1
#FoundationLaunch	1
#InternationalStudies	1
#EnvironmentalProtection	1
#SeminarEvent	1
#TechnologySeminar	1
#CulturalPerspective	1
#CUHKNews	1
#AdministrativeLeadership	1
#HearingHealth	1
#FoodSecurity	1
#BiologicalResearch	1
#SpecialEducation	1
#EducationConference	1
#HerbalRegulation	1
#InkPainting	1
#BiologicalScience	1
#AdmissionEvent	1
#HerbalSafety	1
#WomenStudies	1
#IndustrialSupport	1
#MedicalEquipment	1
#Orthopaedics	1
#HistorySeminar	1
#TeachingImprovement	1
#MedicalLeadership	1
#CancerStudy	1
#MixedMedia	1
#PsychologyLecture	1
#ChemistryConference	1
#SustainableDesign	1
#ArchitectureLecture	1
#BookExhibition	1
#DigitalInnovation	1
#AllergyResearch	1
#UniversityAppointments	1
#InternetDevelopment	1
#NewStudentWelcome	1
#LawStudies	1
#HongKongTransition	1
#ScientificLegacy	1
#MusicCreation	1
#ExperienceSharing	1
#GeneticEngineering	1
#CulturalEducation	1
#RegionalInitiative	1
#StudentEnrollment	1
#NobelPrize	1
#MolecularBiology	1
#FractalGeometry	1
#ProfessionalLink	1
#CulturalImpact	1
#FinanceLecture	1
#ReligiousEvent	1
#SocialChange	1
#CouncilAppointment	1
#EngineeringResearch	1
#CommitteeFormation	1
#SchoolManagement	1
#GlobalBroadcast	1
#AcademicDonation	1
#EducationLecture	1
#GraduationEvent	1
#MedicalFund	1
#CampusImprovement	1
#HealthPromotion	1
#EnvironmentalFocus	1
#EducationalInnovation	1
#InternationalEducation	1
#Collaboration	1
#CommunityActivity	1
#OccupationalHealth	1
#CommunitySafety	1
#CurriculumDevelopment	1
#GiftedEducation	1
#SciencePolicy	1
#LeadershipDevelopment	1
#Orientation	1
#Women	1
#ArtsFestival	1
#PoliticalSeminar	1
#InternationalAffairs	1
#HealthRisk	1
#Sculpture	1
#Immunology	1
#Cardiology	1
#AssociationLaunch	1
#JournalismEducation	1
#Outreach	1
#CulturalLearning	1
#StaffExchange	1
#EducationalDialogue	1
#RegionalIssues	1
#SocialPolicy	1
#AlumniGathering	1
#MathematicsResearch	1
#DigestiveHealth	1
#OpenDay	1
#MedicalFacility	1
#EducationPrograms	1
#AlumniAchievement	1
#FundraisingEvent	1
#UniversityCommunity	1
#LiteraryResearch	1
#BusinessEthics	1
#LiteraryStudies	1
#InteruniversityCollaboration	1
#SciencePrograms	1
#EnvironmentalStudies	1
#Pharmacology	1
#InformationTechnology	1
#FieldStudy	1
#CommunicationStudies	1
#Gynaecology	1
#ResearchAdvancement	1
#ResearchOutreach	1
#ExtramuralStudies	1
#FertilityResearch	1
#EducationalExpansion	1
#EducationalVision	1
#ScientificLeadership	1
#CommunityBuilding	1
#ScientificFindings	1
#EnvironmentalTechnology	1
#AcademicInitiative	1
#InterdisciplinaryCollaboration	1
#NursingDevelopment	1
#ManagementSeminar	1
#SurgicalConference	1
#CulturalPromotion	1
#EducationOutreach	1
#LibraryResources	1
#InternationalGift	1
#EngineeringTechnology	1
#MedicalMilestone	1
#PediatricCare	1
#BoneMarrowTransplant	1
#LegacyFund	1
#OrientationProgram	1
#UNProgram	1
#TrainingInitiative	1
#TechnologySupport	1
#OrientationDay	1
#AcademicIntroduction	1
#ArchitectureDepartment	1
#Inauguration	1
#ResearchFocus	1
#InternshipProgram	1
#UNInitiative	1
#PhysicsSeminar	1
#HuShih	1
#ChungChiCollege	1
#StudentEvents	1
#FacultyEstablishment	1
#EducationReform	1
#BurnTreatment	1
#FinancialTraining	1
#Legacy	1
#TechnologyDonation	1
#ResearchForum	1
#PostgraduateEducation	1
#CollaborativeInitiative	1
#UniversityUpdate	1
#NewCourse	1
#IndustryDevelopment	1
#SystemsEngineering	1
#MathematicsConference	1
#OlympiadAnnouncement	1
#PolicyConcern	1
#MushroomResearch	1
#TechnologyReport	1
#AcademicOutreach	1
#PolicyStudy	1
#EducationalTechnology	1
#BiotechConference	1
#Award	1
#Examination	1
#SocialService	1
#Religion	1
#CulturalCelebration	1
#SportsSeminar	1
#DanceEvent	1
#ArtStudies	1
#FacultyNews	1
#TechResearch	1
#AdultEducation	1
#SocialWorkTraining	1
#FinancialAid	1
#TeacherPreparation	1
#BiotechSeminar	1
#Dance	1
#Library	1
#Law	1
#Symposium	1
#ScheduleChange	1
#HistoricalStudy	1
#International	1
#GraduateSurvey	1
#AdmissionList	1
#EducationResource	1
#SocialIssues	1
#FilmEvent	1
#Accounting	1
#MediaStudies	1
#AcademicYear	1
#MuseumUpdate	1
#EducationSupport	1
#Photography	1
#MathConference	1
#EngineeringAchievement	1
#GovernmentCollaboration	1
#PublicMeeting	1
#CharityInitiative	1
#GenderResearch	1
#InspirationalTalk	1
#LegalStudies	1
#HistoricalStudies	1
#EventCeremony	1
#TeachingConference	1
#AlumniContribution	1
#FundEstablishment	1
#InternationalParticipation	1
#ScientificContribution	1
#LibraryDevelopment	1
#AdministrativeRole	1
#ScientificInnovation	1
#PublicDebate	1
#HealthStudies	1
#ExaminationResults	1
#TheatreTraining	1
#MoralStudies	1
#PublicSector	1
#RegionalHistory	1
#ScholarshipOpportunity	1
#CrossStraitStudies	1
#SocialSeminar	1
#AgingStudies	1
#EducationFunding	1
#PublicEducation	1
#BusinessSeminar	1
#CulturalGift	1
#LiteraryExhibition	1
#ScientificDiscovery	1
#AcademicGovernance	1
#MusicPerformance	1
#BusinessInstitute	1
#CampusExpansion	1
#InformationEngineering	1
#JournalismForum	1
#MedicalEthics	1
#PublicAppeal	1
#WorkshopSeries	1
#NewDegrees	1
#TechnologyTransfer	1
#HigherEducation	1
#CulturalAnalysis	1
#DegreeAwards	1
#GraduationSpeech	1
#EducationalQuality	1
#PublicSpace	1
#AdmissionsOpen	1
#PharmacyEducation	1
#ScholarshipDonation	1
#PoliticalCulture	1
#OrganDonation	1
#EducationOpportunity	1
#ApplicationProcess	1
#HarvardScholar	1
#BreastFeeding	1
#ResearchBreakthrough	1
#CurriculumReform	1
#HistoryEducation	1
#AsiaPacificFocus	1
#NegotiationSkills	1
#CareerExhibition	1
#TriRegionalFocus	1
#EmploymentOpportunities	1
#UniversityGraduates	1
#SkinBank	1
#FundraisingWalk	1
#AccountingSeminar	1
#ProfessionalExchange	1
#RaceStudies	1
#enroll	1
#AcademicFunding	1
#BusinessSkills	1
#StudentProjects	1
#ArchitectureStudies	1
#CreativeChallenge	1
#ManagementResearch	1
#CampusActivities	1
#HealthMilestone	1
#DevelopmentAid	1
#RuralEconomy	1
#MarketingStudies	1
#TechAdvancement	1
#MeetingEvent	1
#ChineseStudies	1
#DonationSupport	1
#EducationNetwork	1
#TeacherSupport	1
#PoliticalDiscussion	1
#HistoricalResearch	1
#LibraryServices	1
#EnvironmentalAwareness	1
#BusinessSupport	1
#PsychologyStudies	1
#CareerExpo	1
#NewPrograms	1
#FutureOutlook	1
#ScienceStudies	1
#UniversityLife	1
#Fundraising	1
#ArtsStudies	1
#SurgicalBreakthrough	1
#Preparation	1
#ProjectFunding	1
#MentalHealth	1
#FacultyGoals	1
#HealthSeminar	1
#DistinguishedProfessor	1
#CapitalismStudies	1
#ResearchFacilities	1
#SurgicalAdvancement	1
#BusinessForecasting	1
#MedicalClarification	1
#CleftLipPalate	1
#HealthcareInnovation	1
#NursingDegree	1
#ProfessionalUpgrade	1
#AcademicGrowth	1
#ResearchLab	1
#FoodScience	1
#OrganTransplant	1
#HealthcareSupport	1
#HealthWarning	1
#HealthImprovement	1
#HumanismFocus	1
#LiverTransplant	1
#GlobalLinkages	1
#SouthChinaStudies	1
#AcademicResources	1
#WorldSystems	1
#LiverCancer	1
#DiplomaCourse	1
#InternetConnection	1
#AcademicNetworking	1
#MicrobialResearch	1
#EducationAccess	1
#HistoricalSeminar	1
#EnglishLiterature	1
#PoetryStudies	1
#DrugAbusePrevention	1
#ChemicalPathology	1
#SurgicalSymposium	1
#InternationalNetworking	1
#PsychologyResearch	1
#DebatingCompetition	1
#EducationExhibition	1
#EngineeringProgram	1
#ChinaDevelopment	1
#StudentScholarship	1
#FoundationCeremony	1
#CulturalSupport	1
#MilestoneEvent	1
#FacultyLeadership	1
#GraduateAdmission	1
#SummerProgram	1
#OfficialVisit	1
#CourseCompletion	1
#PublicService	1
#AcademicSymposium	1
#CrossCulturalResearch	1
#DistinguishedScholars	1
#NewAppointments	1
#EconomicStudy	1
#HealthTechnology	1
#SurgicalResearch	1
#OsteoporosisStudy	1
#GraduateResearch	1
#AnthropologyResearch	1
#FundraisingSupport	1
#GraduateStudy	1
#OpeningCeremony	1
#WomenHealth	1
#NoisePollution	1
#DistinguishedScholar	1
#Microelectronics	1
#FacultyEvent	1
#LinguisticsStudy	1
#ClassicalMusic	1
#CurriculumSupport	1
#MathSeminar	1
#InternetBroadcast	1
